Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,12,133,-0.260742596,JaMychal Green,Injured - mouth (13g),MEM,F,2,19.5,7.5,0.5,6,2,2,0,0.4,7.5,1,1,2,-1.335898248,-0.90194674,0.003231322,-0.508094266,1.977900645,-1.146326102,-0.791132857,0.52558761,-0.17000473
,20,237,-0.532547526,Kyle O'Quinn,,IND,C,6,7.225,4.666666667,0,2.833333333,1.166666667,0.166666667,0.666666667,0.55,3.333333333,1,1,0.666666667,-1.815606842,-1.366028484,-1.068606626,-0.896810247,-1.526179964,-0.136643144,0.318016195,0.52558761,1.173343767
,26,306,-0.696933616,Troy Brown,,WAS,F,2,6.8,3.5,0.5,2.5,0,0.5,0,0.333333333,3,1,1,0.5,-2.01313391,-0.90194674,-1.181431673,-1.44101262,-0.889074399,-1.146326102,-0.566327041,0.52558761,1.34126233
,7,80,-0.107912684,Enes Kanter,,NYK,C,8,26.5125,14.25,0.125,11,2.25,0.625,0.25,0.521276596,11.75,0.882352941,2.125,2.375,-0.19306307,-1.250008048,1.695607029,-0.391479471,-0.650159812,-0.767694993,0.621995157,0.511410548,-0.547821495
,11,123,-0.213445176,Rodney Hood,,CLE,G,7,27.76904762,14,0.857142857,2.571428571,1.857142857,1.142857143,0,0.458823529,12.14285714,0.875,2.285714286,0.571428571,-0.235390299,-0.570459781,-1.157254878,-0.574731291,0.339629192,-1.146326102,-0.355155908,0.509385253,1.269297232
,13,154,-0.301670035,Shai Gilgeous-Alexander,,LAC,G,7,25.86666667,8.428571429,0.428571429,3.285714286,3.571428571,1,0.428571429,0.488372093,6.142857143,0.875,2.285714286,1.857142857,-1.178682827,-0.968244132,-0.915486919,0.224913012,0.066583949,-0.4972442,0.069820079,0.509385253,-0.026074534
,20,230,-0.523991875,Eric Gordon,,HOU,G,6,33.03888889,14,1.833333333,3.833333333,1.5,0.333333333,0.833333333,0.306122449,16.33333333,0.866666667,2.5,0.833333333,-0.235390299,0.335604575,-0.730131485,-0.741323854,-1.207627181,0.115777596,-3.764946293,0.50668486,1.005425205
,24,284,-0.645524033,Reggie Bullock,Questionable - ankle sprain,DET,F,6,28.45277778,10,1.166666667,2.333333333,2,0.166666667,0.333333333,0.327868852,10.16666667,0.866666667,2.5,1,-0.91262596,-0.283171082,-1.237844197,-0.508094266,-1.526179964,-0.641484623,-2.04450771,0.50668486,0.837506643
,2,13,0.552545973,Nikola Vucevic,,ORL,C,7,28.69761905,18.57142857,1,10.85714286,4.285714286,1.428571429,1,0.569892473,13.28571429,0.85,2.857142857,2.428571429,0.538593314,-0.437864997,1.647253437,0.558098139,0.885719676,0.368198335,1.549763959,0.464947208,-0.601795318
,20,234,-0.530049644,Wayne Selden Jr.,,MEM,G,6,15.63333333,7.666666667,1.166666667,1,1,0.666666667,0,0.515151515,5.5,1,0.833333333,1.333333333,-1.307680096,-0.283171082,-1.689144386,-0.974553443,-0.570521616,-1.146326102,0.258478818,0.44080159,0.501669519
